,Brand,Kilometers,Model_name,Manu_Year,fuel_type,SAles_price
2411,Maruti,"39,781",Baleno,2017,Petrol,5.96
2412,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2413,Hyundai,"45,716",Creta,2018,Petrol,8.99
2414,Maruti,"72,880",Wagon,2011,Petrol,1.70
2415,BMW,"85,000",X5,2015,Diesel,31.25
2416,Ford,"70,000",Endeavour,2017,Diesel,24.60
2417,Honda,"75,000",CR-V,2016,Petrol,11.51
2418,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2419,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2420,Renault,"23,290",KWID,2017,Petrol,3.43
2421,Tata,"96,177",Harrier,2019,Diesel,12.88
2422,Maruti,"14,190",Alto,2018,Petrol,3.86
2423,Maruti,"50,969",Celerio,2018,CNG,5.13
2424,Honda,"26,736",Jazz,2017,Petrol,6.90
2425,Maruti,"34,278",Baleno,2017,Petrol,6.53
2426,Maruti,"33,206",Ciaz,2019,Petrol,9.34
2427,Mahindra,"46,365",Thar,2017,Diesel,7.72
2428,Maruti,"30,480",S-Presso,2020,Petrol,4.50
2429,Maruti,"76,734",Swift,2015,Diesel,3.76
2430,Maruti,"86,294",Swift,2014,Diesel,4.11
2431,Maruti,"39,781",Baleno,2017,Petrol,5.96
2432,Maruti,"82,496",Ciaz,2019,Petrol,8.72
2433,Hyundai,"45,716",Creta,2018,Petrol,8.99
2434,Maruti,"72,880",Wagon,2011,Petrol,1.70
2435,BMW,"85,000",X5,2015,Diesel,31.25
2436,Ford,"70,000",Endeavour,2017,Diesel,24.60
2437,Honda,"75,000",CR-V,2016,Petrol,11.51
2438,Mahindra,"62,000",XUV500,2017,Diesel,11.00
2439,Mercedes-Benz,"57,007",GLA,2014,Petrol,17.99
2440,Renault,"23,290",KWID,2017,Petrol,3.43
2441,Tata,"96,177",Harrier,2019,Diesel,12.88
2442,Maruti,"14,190",Alto,2018,Petrol,3.86
2443,Maruti,"50,969",Celerio,2018,CNG,5.13
2444,Honda,"26,736",Jazz,2017,Petrol,6.90
2445,Maruti,"34,278",Baleno,2017,Petrol,6.53
